2025-05-13 18:39:45 | User: Den | Role: InternalManager | Action: Видалив дані тренера (ID: 21)
2025-05-13 20:53:27 | User: Den | Role: InternalManager | Action: Оновив запис розкладу тренера (ID: 33)
2025-05-13 20:56:15 | User: Den | Role: InternalManager | Action: Оновив запис розкладу тренера (ID: 32)
2025-05-13 21:49:05 | User: Thomas Hoffman | Role: Trainer | Action: Видалив відвідування (ID: 9521)
2025-05-13 22:24:42 | User: Vova | Role: PurchaseManager | Action: Створив новий спортивний товар (ID: 44)
2025-05-13 22:34:08 | User: Vova | Role: PurchaseManager | Action: Створив новий спортивний товар (ID: 45)
2025-05-13 22:35:49 | User: Vova | Role: PurchaseManager | Action: Створив новий спортивний товар (ID: 40)
2025-05-13 22:36:53 | User: Anonymous | Role: Unknown | Action: Додав постачальника (ID: 8)
2025-05-13 22:37:17 | User: Vova | Role: PurchaseManager | Action: Оновив постачальника (ID: 8)
2025-05-13 22:52:34 | User: Vova | Role: PurchaseManager | Action: Видалив інформацю про спортивний товар (ID: 40)
2025-05-13 22:54:48 | User: Den | Role: InternalManager | Action: Змінив покупку (ID: 594)
2025-05-13 22:56:36 | User: Den | Role: InternalManager | Action: Змінив дані тренера (ID: 3)
2025-05-13 23:03:38 | User: Vova | Role: PurchaseManager | Action: Оновив інформацю про спортивний товар (ID: 1)
2025-05-13 23:03:56 | User: Vova | Role: PurchaseManager | Action: Видалив інформацю про спортивний товар (ID: 41)
2025-05-14 13:37:14 | User: Den | Role: InternalManager | Action: Змінив абонемент (ID: 19)
2025-05-14 13:38:53 | User: Den | Role: InternalManager | Action: Змінив абонемент (ID: 1)
2025-05-14 13:39:29 | User: Den | Role: InternalManager | Action: Змінив дані тренера (ID: 1)
2025-05-14 13:39:56 | User: Den | Role: InternalManager | Action: Оновив запис розкладу тренера (ID: 9)
2025-05-14 13:40:35 | User: Den | Role: InternalManager | Action: Змінив покупку (ID: 595)
2025-05-15 02:18:25 | User: Vova | Role: PurchaseManager | Action: Оновив товари в замовленні (ID: 112)
2025-05-15 02:18:42 | User: Vova | Role: PurchaseManager | Action: Оновив товари в замовленні (ID: 112)
2025-05-15 02:23:44 | User: Vova | Role: PurchaseManager | Action: Оновив товари в замовленні (ID: 112)
2025-05-15 02:23:52 | User: Vova | Role: PurchaseManager | Action: Оновив товари в замовленні (ID: 112)
2025-05-15 02:24:09 | User: Vova | Role: PurchaseManager | Action: Оновив товари в замовленні (ID: 112)
2025-05-15 02:35:27 | User: Vova | Role: PurchaseManager | Action: Оновив товари в замовленні (ID: 112)
2025-05-15 02:35:44 | User: Vova | Role: PurchaseManager | Action: Оновив товари в замовленні (ID: 112)
2025-05-15 02:35:54 | User: Vova | Role: PurchaseManager | Action: Оновив товари в замовленні (ID: 112)
2025-05-15 02:36:00 | User: Vova | Role: PurchaseManager | Action: Оновив товари в замовленні (ID: 112)
2025-05-15 08:57:28 | User: Den | Role: InternalManager | Action: Змінив абонемент (ID: 5)
2025-05-15 08:58:19 | User: Den | Role: InternalManager | Action: Змінив абонемент (ID: 5)
2025-05-15 09:01:39 | User: Anonymous | Role: Unknown | Action: Змінив абонемент (ID: 5)
2025-05-15 09:06:09 | User: Anonymous | Role: Unknown | Action: Змінив абонемент (ID: 5)
2025-05-15 09:06:35 | User: Den | Role: InternalManager | Action: Змінив абонемент (ID: 5)
2025-05-15 09:14:42 | User: Den | Role: InternalManager | Action: Змінив абонемент (ID: 5)
2025-05-15 09:15:41 | User: Den | Role: InternalManager | Action: Змінив абонемент (ID: 5)
2025-05-15 09:15:47 | User: Den | Role: InternalManager | Action: Змінив абонемент (ID: 5)
2025-05-15 09:15:55 | User: Den | Role: InternalManager | Action: Змінив абонемент (ID: 5)
2025-05-15 09:32:50 | User: Den | Role: InternalManager | Action: Змінив абонемент (ID: 5)
2025-05-15 11:12:21 | User: Den | Role: InternalManager | Action: Змінив покупку (ID: 667)
2025-05-15 11:12:53 | User: Den | Role: InternalManager | Action: Змінив покупку (ID: 663)
2025-05-15 11:13:09 | User: Den | Role: InternalManager | Action: Змінив покупку (ID: 668)
2025-05-15 11:13:15 | User: Den | Role: InternalManager | Action: Змінив покупку (ID: 668)
2025-05-15 11:13:56 | User: Den | Role: InternalManager | Action: Змінив покупку (ID: 675)
2025-05-15 11:14:01 | User: Den | Role: InternalManager | Action: Змінив покупку (ID: 675)
2025-05-15 19:52:53 | User: Den | Role: InternalManager | Action: Додав запис в розклад тренера (ID: 182)
2025-05-16 12:00:00 | User: Den | Role: InternalManager | Action: Оформлена покупка (ID: 677, №: 677)
2025-05-16 12:00:14 | User: Den | Role: InternalManager | Action: Видалив покупку (ID: 677)
2025-05-16 12:00:45 | User: Den | Role: InternalManager | Action: Змінив абонемент (ID: 7)
2025-05-16 12:01:50 | User: Den | Role: InternalManager | Action: Змінив абонемент (ID: 7)
2025-05-16 12:17:34 | User: Den | Role: InternalManager | Action: Змінив дані тренера (ID: 1)
2025-05-16 12:21:18 | User: Den | Role: InternalManager | Action: Додано нову активність (ID: 12, Назва: 123)
2025-05-16 12:21:21 | User: Den | Role: InternalManager | Action: Видалив активність (ID: 12, Назва: 123)
2025-05-16 14:17:40 | User: Den | Role: InternalManager | Action: Створив новий абонемент
2025-05-16 14:20:05 | User: Den | Role: InternalManager | Action: Оформлена покупка (ID: 641, №: 641)
2025-05-16 14:21:19 | User: Den | Role: InternalManager | Action: Змінив абонемент (ID: 16)
2025-05-16 14:21:43 | User: Den | Role: InternalManager | Action: Змінив дані тренера (ID: 1)
2025-05-16 14:21:56 | User: Den | Role: InternalManager | Action: Додав запис в розклад тренера (ID: 346)
2025-05-16 14:22:17 | User: Den | Role: InternalManager | Action: Змінив дані тренера (ID: 1)
2025-05-16 14:23:32 | User: Den | Role: InternalManager | Action: Додав запис в розклад тренера (ID: 347)
2025-05-16 14:25:00 | User: Thomas Hoffman | Role: Trainer | Action: Змінив відвідування (ID: 8933)
